b_id,b_title,b_date,a_auth,b_cover,b_url,b_desc,g_id
1,"Life, Re-Scaled",2010,"Liliane Campos, Pierre-Louis Patoine",https://www.dbooks.org/img/books/1800647514s.jpg,https://www.dbooks.org/life-re-scaled-1800647514/,The Biological Imagination in Twenty-First-Century Literature and Performance,1
2,Media Resistance,2012,Trine Syvertsen,https://www.dbooks.org/img/books/331946499Xs.jpg,https://www.dbooks.org/media-resistance-331946499x/,"Protest, Dislike, Abstention",1
3,"Beyond Media Borders, Volume 2",2013,Lars Ellestr�m,https://www.dbooks.org/img/books/303049683Xs.jpg,https://www.dbooks.org/beyond-media-borders-volume-2-303049683x/,This is a book on science and technology,1
4,Handbook of Contact Mechanics,2014,"Valentin L. Popov, Markus He�, Emanuel Willert",https://www.dbooks.org/img/books/3662587092s.jpg,https://www.dbooks.org/handbook-of-contact-mechanics-3662587092/,Exact Solutions of Axisymmetric Contact Problems,2
5,Cold Micro Metal Forming,2013,"Frank Vollertsen, Sybille Friedrich, Bernd Kuhfu�, Peter Maa�, Claus Thomy, Hans-Werner Zoch""",https://www.dbooks.org/img/books/3030112802s.jpg,https://www.dbooks.org/cold-micro-metal-forming-3030112802/,"Research Report of the Collaborative Research Center &quot;Micro Cold Forming&quot; (SFB 747), Bremen, Germany",2
6,Hot Property,2013,"Rob Nijskens, Melanie Lohuis, Paul Hilbers, Willem Heeringa",https://www.dbooks.org/img/books/3030116743s.jpg,https://www.dbooks.org/hot-property-3030116743/,The Housing Market in Major Cities,2
7,The Chinese Economic Transformation,2000,"Ligang Song, Yixiao Zhou, Luke Hurst",https://www.dbooks.org/img/books/1760463132s.jpg,https://www.dbooks.org/the-chinese-economic-transformation-1760463132/,Views from Young Economists,2
8,Firm Innovation and Productivity in Latin America and the Caribbean,2004,"Inter-American Development Bank, Matteo Grazzi, Carlo Pietrobelli",https://www.dbooks.org/img/books/1349581518s.jpg,https://www.dbooks.org/firm-innovation-and-productivity-in-latin-america-and-the-caribbean-1349581518/,The Engine of Economic Development,3
9,97 Things Every Software Architect Should Know,2008,"Richard Monson-Haefel, Kevlin Henney",https://www.dbooks.org/img/books/059652269Xs.jpg,https://www.dbooks.org/97-things-every-software-architect-should-know-059652269x/,Collective Wisdom from the Experts,3
10,The Vue.js Handbook,2007,Flavio Copes,https://www.dbooks.org/img/books/5614607280s.jpg,https://www.dbooks.org/the-vuejs-handbook-5614607280/,The best hand book to learn vue as a beginner.,3
11,Mapping Global Theatre Histories,2013,Mark Pizzato,https://www.dbooks.org/img/books/3030127273s.jpg,https://www.dbooks.org/mapping-global-theatre-histories-3030127273/,This is a book about the beautiful locations of the world.,4
12,Reading Breath in Literature,2014,"Arthur Rose, Stefanie Heine, Naya Tsentourou",https://www.dbooks.org/img/books/3319999486s.jpg,https://www.dbooks.org/reading-breath-in-literature-3319999486/,This is one of the best sellers in poetry books.,4
13,History and Cultural Memory in Neo-Victorian Fiction,2013,Kate Mitchell,https://www.dbooks.org/img/books/0230283128s.jpg,https://www.dbooks.org/history-and-cultural-memory-in-neo-victorian-fiction-0230283128/,History and Cultural Memory in Neo-Victorian Fiction,5
14,Tales of Research Misconduct,2005,Hub Zwart,https://www.dbooks.org/img/books/331965554Xs.jpg,https://www.dbooks.org/tales-of-research-misconduct-331965554x/,A Lacanian Diagnostics of Integrity Challenges in Science Novels,5
